date,to_curr,provider,rate,markup
2026-01-01,EUR,MASTERCARD,0.0030497,
2026-01-01,EUR,VISA,0.0030491409,0
2026-01-01,GBP,MASTERCARD,0.0026673,
2026-01-01,GBP,VISA,0.002666832,0
2026-01-01,INR,MASTERCARD,0.3214975,
2026-01-01,INR,VISA,0.3216709784,0
2026-01-01,USD,MASTERCARD,0.003574,
2026-01-01,USD,VISA,0.0035732918,0
2026-01-02,EUR,MASTERCARD,0.0030516,
2026-01-02,EUR,VISA,0.0030491409,0
2026-01-02,GBP,MASTERCARD,0.002661,
2026-01-02,GBP,VISA,0.002666832,0
2026-01-02,INR,MASTERCARD,0.3224308,
2026-01-02,INR,VISA,0.3216709784,0
2026-01-02,USD,MASTERCARD,0.003574,
2026-01-02,USD,VISA,0.0035732918,0
2026-01-03,EUR,MASTERCARD,0.0030516,
2026-01-03,EUR,VISA,0.0030509306,0
2026-01-03,GBP,MASTERCARD,0.002661,
2026-01-03,GBP,VISA,0.0026604496,0
2026-01-03,INR,MASTERCARD,0.3224308,
2026-01-03,INR,VISA,0.3225215369,0
2026-01-03,USD,MASTERCARD,0.003574,
2026-01-03,USD,VISA,0.0035732535,0
2026-01-04,EUR,MASTERCARD,0.0030516,
2026-01-04,EUR,VISA,0.0030509306,0
2026-01-04,GBP,MASTERCARD,0.002661,
2026-01-04,GBP,VISA,0.0026604496,0
2026-01-04,INR,MASTERCARD,0.3224308,
2026-01-04,INR,VISA,0.3225215369,0
2026-01-04,USD,MASTERCARD,0.003574,
2026-01-04,USD,VISA,0.0035732535,0
2026-01-05,EUR,MASTERCARD,0.0030657,
2026-01-05,EUR,VISA,0.0030509306,0
2026-01-05,GBP,MASTERCARD,0.002665,
2026-01-05,GBP,VISA,0.0026604496,0
2026-01-05,INR,MASTERCARD,0.3229247,
2026-01-05,INR,VISA,0.3225215369,0
2026-01-05,USD,MASTERCARD,0.003574,
2026-01-05,USD,VISA,0.0035732535,0
2026-01-06,EUR,MASTERCARD,0.0030336,
2026-01-06,EUR,VISA,0.0030650954,0
2026-01-06,GBP,MASTERCARD,0.0026274,
2026-01-06,GBP,VISA,0.0026644458,0
2026-01-06,INR,MASTERCARD,0.3197823,
2026-01-06,INR,VISA,0.3227358182,0
2026-01-06,USD,MASTERCARD,0.0035442,
2026-01-06,USD,VISA,0.0035732918,0
